Checkpoint #,Name,Uploaded At,Elo Rating,Network File,Raw TF Weights,Raw Elo,Raw Network URL,Raw TF URL
10,kata1-b6c96-s10825472-d2300510,2020-11-28 20:29:53 UTC,"2286.4 ± 22.0 - (1,703 games)",[Download],[Download],2286.4,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s10825472-d2300510.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s10825472-d2300510.zip
9,kata1-b6c96-s10014464-d2201128,2020-11-28 20:29:49 UTC,"2121.7 ± 22.0 - (1,802 games)",[Download],[Download],2121.7,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s10014464-d2201128.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s10014464-d2201128.zip
8,kata1-b6c96-s8982784-d2082583,2020-11-28 20:29:45 UTC,"1938.9 ± 21.9 - (1,738 games)",[Download],[Download],1938.9,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s8982784-d2082583.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s8982784-d2082583.zip
7,kata1-b6c96-s8080640-d1961030,2020-11-28 20:29:42 UTC,"1853.5 ± 21.4 - (1,692 games)",[Download],[Download],1853.5,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s8080640-d1961030.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s8080640-d1961030.zip
6,kata1-b6c96-s6127360-d1754797,2020-11-28 20:29:38 UTC,"1704.1 ± 21.2 - (1,709 games)",[Download],[Download],1704.1,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s6127360-d1754797.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s6127360-d1754797.zip
5,kata1-b6c96-s5214720-d1690538,2020-11-28 20:29:35 UTC,"1594.9 ± 21.9 - (1,701 games)",[Download],[Download],1594.9,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s5214720-d1690538.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s5214720-d1690538.zip
4,kata1-b6c96-s4136960-d1510003,2020-11-28 20:29:31 UTC,"1533.0 ± 21.9 - (1,894 games)",[Download],[Download],1533,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s4136960-d1510003.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s4136960-d1510003.zip
3,kata1-b6c96-s1995008-d1329786,2020-11-28 20:29:28 UTC,"1063.1 ± 22.0 - (3,059 games)",[Download],[Download],1063.1,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s1995008-d1329786.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s1995008-d1329786.zip
2,kata1-b6c96-s938496-d1208807,2020-11-28 20:29:24 UTC,"794.7 ± 21.9 - (5,437 games)",[Download],[Download],794.7,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s938496-d1208807.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s938496-d1208807.zip
1,kata1-b6c96-s1248000-d550347,2020-11-28 20:29:21 UTC,"479.0 ± 21.9 - (4,330 games)",[Download],[Download],479,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s1248000-d550347.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s1248000-d550347.zip
